,Tytuł,Kliknięcia linku
50,W Moskwie mieszka moskwianka czy moskwijka? Zdołasz nazwać mieszkańców miast?,1500
51,"Tylko jeśli oglądasz teleturnieje, masz szansę na rozwiązanie tego quizu",9760
52,"Jaka przygoda zaczyna się od szczotki, pasty, kubka i ciepłej wody? Znasz przeboje Fasolek?",1873
53,Pytamy tylko o Hiszpanię. Uda ci się odpowiedzieć na wszystkie pytania? ,898
54,"Dzicy lokatorzy naszych domów. Przekonaj się, ile wiesz o szkodnikach",2444
55,"Jeśli dużo podróżujesz po Polsce, to jest szansa, że zdobędziesz komplet punktów w tym quizie",10075
56,"Wskażesz, gdzie można znaleźć tę budowlę? Jest utrudnienie. Widzisz tylko kontur",1398
57,"Sprawdź, ile jeszcze pamiętasz z ""Jeżycjady"". Zdobędziesz komplet punktów?",438
58,"Znasz ich z telewizji, a wiesz, kim są z zawodu? Możesz się zdziwić",2139
59,"Coś dla narzekających, że nasze quizy są za łatwe. Sprawdź, co wiesz o... Serbii",2328
60,"Wiesz, z którego filmu pochodzi piosenka ""Time of my life""? Jeśli tak, to już masz punkt ",12603
61,"Jeśli nie bywasz na weselach, nie masz szans na komplet punktów",19541
62,"Sprawdź, czy na pewno znasz polskie zwierzęta. Miało być łatwo, a średnia tylko 8/15",6435
63,Dopasujesz symbol do miasta? Większość wymięka na 4. pytaniu,3595
64,"Pytamy tylko o Afrykę. Jeśli odpowiesz poprawnie na wszystkie pytania, jesteś mistrzem",1310
65,Pamiętasz lata 90.? Ten quiz przywoła wspomnienia!,18342
66,Bałtyk. Quiz wiedzy ogólnej. Pobijecie średnią 9/13?,2568
67,"Wiesz, czym jest śledź? A tropik? Jeśli nie, to twoje szanse w tym quizie są niskie",5349
68, Zdobyłeś mniej niż 5 punktów w tym quizie? Lepiej się nie przyznawaj. 8 to absolutne minimum ,15335
69,"Sprawdzamy waszą wiedzę z ortografii. Dziś pytamy o słowa zaczynające się od ""a""",16122
70,"Pies merdający ogonem jest radosny czy niepewny? Sprawdź, czy dogadasz się z każdym czworonogiem",8553
71,Byłeś częstym gościem w babcinej kuchni? Ten quiz nie powinien sprawić ci problemu,4373
72,"Wystarczy ci jedno słowo, żeby rozpoznać polski serial? Sprawdź, czy pobijesz średnią 7/10",5055
73,"Ten quiz oddzieli tych, który czytali lektury, od tych, którzy spali na lekcjach ",14999
74,"Znasz gwarę śląską? Sprawdź, czy dogadałbyś się z mieszkańcami Śląska",2230
75,"Roślina czy owad? Niby prosty quiz, a średnia tylko 14/19",2449
76,Pytamy o nietypowe zawody. Dasz radę odgadnąć wszystkie? Komplet punktów tylko dla najlepszych,5568
77,"Sprawdzisz się w quizie z lektury? Tym razem pytamy o ""Anię z Zielonego Wzgórza""",1353
78,"Co jest większe: ar czy hektar? Jeśli wiesz, to masz już jeden punkt",9380
79,"Pytamy tylko o polskie rzeki. Na pewno je znasz, ale czy rozpoznasz po zdaniu opisu? ",1390
80,"Te zasady zna ten, kto potrafi gotować. Tutaj szkolna wiedza nie wystarczy",9514
81,Pamiętacie te podręczniki? Potraficie przyporządkować je do przedmiotu?,5004
82,"Myślisz, że wiesz wszystko o polskim kinie? Wskaż, w którym filmie nie zagrał ten aktor",3988
83,Dasz się nabrać? Pytamy o językowych fałszywych przyjaciół. Średnia 10/14,3115
84,"Większość z Was myli się w 7. pytaniu. Przekonaj się, czy udzielisz poprawnej odpowiedzi",4633
85,"Myślisz, że masz wszechstronną wiedzę? Sprawdź się w szybkim quizie",13228
86,"10 zdań o Europie. Musisz tylko odgadnąć, które jest prawdziwe. Dasz radę?",18284
87,"Jak dobrze znasz sąsiadów Polski? Odgadniesz, które miasta zaznaczyliśmy na mapie?",2413
88,"Wiesz, czym są gacie? A baciarka? Sprawdź, czy dogadasz się z góralem",9816
89,"Pamiętasz, kto padł ofiarą spisku Brutusa? Pytamy o najsłynniejszych zdrajców",7585
90,"Kto wylądował na Księżycu? Louis, Neil czy Lance? Do pobicia średnia 8/12",2998
91,"Nie rozwiążesz tego quizu, jeśli nigdy nie stałeś w kolejce w PRL-u ",7005
92,Urodziłeś się przed rokiem 1990? Masz spore szanse na komplet punktów w tym quizie,6595
93,Tego aktora znamy wszyscy. Sprawdź swoją wiedzę na temat filmów ze Zbyszkiem Cybulskim,3372
94,Pytamy o polskie teleturnieje. Tylko najwięksi fani mają szansę na komplet punktów ,4632
95,"Gry i zabawy naszego dzieciństwa. Jeśli masz dobrą pamięć, to z pewnością je sobie przypomnisz ",2703
96,"Wydaje ci się, że znasz polską historię? Sprawdź, ile wiesz o polskich powstaniach ",867
97,Berberys pospolity to ptak czy kwiat? W tym quizie przyda się wiedza z przyrody ,1572
98,"""Ada! To nie wypada!"". Pamiętasz filmowe hity sprzed lat?",2086
99,"Pamiętasz, jakim samochodem jeździł Czterdziestolatek? Średnia 9/12",3682
100,"""Mam pomysł, ja się z Marysią ożenię!"" - pamiętasz, z którego z filmu to cytat?",4740
101,Copiątkowa rozgrzewka umysłu. Nie jest łatwo zdobyć 10/10,6456
102,Pora na ekstremalne wyzwanie. Zdobędziesz więcej niż 5 punktów? ,3159
103,"Musisz tylko ustalić, co jest mniejsze. Myślisz, że to proste? Nie tak, jak się wydaje ",16115
104,"Ten quiz sprawdzi, czy dogadałbyś się z mieszkańcem Krakowa",10673
105,"Komplet punktów zdobędziesz, tylko jeśli uważnie słuchałeś na lekcjach polskiego ",15260
106,Pytamy o podstawowe zwroty w językach obcych. Dasz sobie radę za granicą?,3648
107,"Wiesz, z którego kontynentu pochodzą pomidory? Sprawdź się w quizie wiedzy ogólnej ",1721
108,"Pytamy o kuchnię rosyjską. Tylko obyta w świecie osoba poradzi sobie bez problemu
",6992
109,"Przetrwasz w lesie? Najpierw sprawdzimy, czy nie dasz się otruć",12354
110,Polskie komedie to twój konik? Spróbuj powalczyć o komplet punktów,2724
111,"Wszyscy wiemy, jak wyglądają te miejsca. Ale czy rozpoznacie je na zdjęciach z satelity? ",1315
112," Lubisz podróżować? Sprawdź, czy dopasujesz wyspę do państwa",6145
113,"Tę lekturę na pewno znasz. Sprawdź, czy coś z niej pamiętasz",736
114,"Który grzyb jest jadalny, a który trujący? Pomyłka może sporo kosztować",10762
115,"Jeśli imiona Filemon, Garfield i Rademenes nic ci nie mówią, nie masz w tym quizie szans",3720
116,Tylko prawdziwe orły gotowania mają szansę na komplet punktów. Uważajcie na pułapki,10522
117,Nie rozwiązujesz krzyżówek? Nie poradzisz sobie w tym quizie. Średnia 7/12,2841
118,Poznasz ciastko na zdjęciu? Maksimum zdobędzie tylko prawdziwy miłośnik słodkości ,4630
119,"Rozpoznasz jedzenie na zdjęciach? Myślisz, że to łatwe? Pobij średnią 6/11",5865
120,Zadajemy pytania o garderobę. Tej wiedzy nie zdobędziesz w szkole,2905
121,Lód. Quiz wiedzy ogólnej. Pobijesz średnią 8/12? Najtrudniejsze 4. pytanie,2023
122,"Do roślin iglastych nie należy: a) ostrokrzew, b) modrzew, c) cis. Wiesz? ",1583
123,"14 rzeczy z ostatnich 50 lat historii Polski, które zna każda wykształcona osoba ",4212
124,"Przeciętny Polak zna ok. 30 tys. słów. Myślisz, że jesteś powyżej średniej? ",7883
125,"Pamiętasz cokolwiek z ""Czterech pancernych""? Średnia 9/12",11464
126,"Mickiewicz, Hitchcock i Madonna w jednym quizie? To możliwe! Pytamy o debiuty znanych artystów",1046
127,W tym quizie komplet punktów zdobędą tylko najlepsi. Pytamy o jedną rzekę,4657
128,"Na pewno wiele razy widziałeś te rośliny, ale czy rozpoznasz je na zdjęciu? ",7185
129,"""Diabeł ubiera się u Prady"" to film, do którego uwielbiamy wracać. Co o nim wiesz?",1456
130,W tym quizie pytamy o przeszłość. Jeśli urodziłeś się w PRL na pewno sobie poradzisz,2057
131,"""Pij mleko, będziesz wielki"". Ten quiz dla niektórych będzie jak kożuch na mleku",1306
132,"Losy bohaterów ""Na dobre i na złe"" śledziły miliony ludzi. Pamiętacie jeszcze coś z tego serialu?",1852
133,Szybki quiz na przerwę w meczu. Spróbuj zdobyć 5/5 i wróć do kibicowania Naszym!,1019
134,"Jaki nurt w malarstwie stworzył Picasso? Jeśli wiesz, to spróbuj zdobyć komplet!",404
135,"Obrazy, które musi znać każdy wykształcony Polak. Uda wam się poprawnie odpowiedzieć?",1182
136,W cośrodowym komplet zdobędą tylko osoby o rozległej wiedzy. Jesteś jedną z nich?,13576
137,"Trzy słowa, jedna kategoria: postać fikcyjna. Odgadniesz wszystkie?",874
138,12 rzeczy bez których polski dom nie byłby taki sam. Pamiętasz je jeszcze?,6031
139,"Palcem po mapie, czyli quiz o flagach państw! Znacie je wszystkie?",323
140,"Językowi ""fałszywi przyjaciele"". Odgadniesz znaczenie obcych słów? Tylko pozornie brzmią jak polskie",2311
141,"Czas na quiz historyczny! Pytamy tylko o wydarzenia do XVII wieku, dasz radę?",6992
142,"Szlafmyca, obi i wiele innych. Rozpoznacie te nietypowe nazwy odzieży?",2792
143,"Rozpoznasz reprezentantów Polski, jeśli zapikselujemy im twarz? Quiz dla wiernych kibiców",662
144,"""Psychozy"" Hitchcocka bały się całe pokolenia. Pokonasz strach i zdobędziesz 9/9?",409
145,"Potrafisz wskazać, które zdanie jest błędnie zapisane? Tylko dla znawców zasad pisowni",2559
146,Pamiętacie jeszcze coś z języka polskiego? Czas na nowy polonistyczny!,920
147,"Potrafisz dopasować europejskie stolice do rzek, które przez nie płyną? To trudniejsze, niż myślisz",2439
148,"Jak dobrze znasz sąsiadów Polski? Odgadniesz, które miasta zaznaczyliśmy na mapie?",768
149,Lubisz śmiać się z kabaretów? W takim razie masz dużą szansę na komplet punktów!,5262
150,"Te zasady powinien znać każdy, kto uważa, że umie gotować. Podejmujesz wyzwanie?",3608
151,"Oglądaliście ""Różowe lata 70.""? Sprawdźcie, ile o nich pamiętacie!",86
152,"Pytamy tylko o słowa na literę 'a'. Wiesz, jak je zapisać?",2374
153,Pytamy tylko o wydarzenia z 2000 roku. Poradzisz sobie?,29124
154,"""Seks w wielkim mieście"" podbił serca milionów widzów. Wiesz o nim wszystko? ",141
155,"Jeśli interesujesz się piłką, na pewno kojarzysz te stadiony! 7/9 to dobry wynik",413
156,"Jeśli lubisz stare polskie kino 8/10 w tym quizie to minimum. Pytamy o ""Kilera""!",28723
157,Pora na copiątkowy quiz wiedzy ogólnej! Wynik powyżej 8/10 to powód do dumy!,4976
158,"Mamy wątpliwości, czy na pewno potraficie rozwiązać te działania z 4. klasy podstawówki. Udowodnicie, że się mylimy?",559
159,"Imieniny Katarzyny, czyli quiz o Katarzynkach! Znacie to małe święto?",686
160,Dzisiejszy ekstremalny quiz wiedzy rozłoży Was na łopatki! 12/12 poza zasięgiem,30191
161,"""Przyjaciele"" bawili do łez, bo mieli takie same problemy jak my. Zgarniesz 10/10?",310
162,Zdobędziecie choć połowę punktów w tym quizie o Azji? Przekonajcie się,725
163,"Przeciętny Polak zna ok. 30 tys. słów. Myślisz, że jesteś powyżej średniej? Dopasuj synonim do wyrazu",6301
164,"Sądzisz, że znasz się na tkaninach i materiałach? Udowodnij to w tym quizie",11783
165,"Oglądaliście ""Świat według Bundych""? To w tym quizie musicie mieć komplet!",863
166,"Rzucasz powiedzeniami jak z rękawa? Sprawdź, na ile znasz polskie przysłowia",8308
167,Kultowe dobranocki. Pamiętacie jeszcze z nich cokolwiek?,1418
168,Obyście nie przeoczyli żadnej informacji. To quiz o wzroku!,709
169,"Pytamy o podstawowe zwroty w językach obcych. Sprawdź, czy dogadasz się na wakacjach",768
170,To najsłynniejsze polskie piosenki lat 80. Poznasz je po fragmencie tekstu?,2426
171,"Fakty i mity. Potrafisz odróżnić prawdę od fałszu? Sprawdź, czy masz szanse na komplet",2739
172,"Znasz trzech aktorów na zdjęciach? To świetnie! A odgadniesz, w których serialach wspólnie grali?",3987
173,"Quiz - Usunęliśmy jeden wyraz z tytułu filmu. Wiesz, który? - Gazeta.pl",3432
174,Najsłynniejsi dowódcy. Bez wiedzy o polskiej historii nie macie w tym quizie szans,1130
175,"My podajemy składniki, wy musicie odgadnąć, co będziemy gotować",6700
176,Jeśli śledzisz media 5/5 w tym quizie to obowiązek! Pytamy o same gorące newsy!,601
177,Masz pamięć do nazwisk? To w nowym kalendarzowym startujesz z wygranej pozycji!,3696
178,Nigdy nie ćwiczyłeś na WF-ie? W takim razie nie rozwiążesz tego quizu,60993
179,"To nietypowy quiz, bo pytamy tylko o szkło. O komplet punktów nie będzie łatwo ",1941
180,"Założysz się, że jednak mało wiesz o Polsce? Masz więcej niż 10/13 i wygrywasz!",5089
181,Wszyscy je nuciliśmy. Pamiętasz słowa tych kultowych polskich przebojów?,5215
182,"Z tego możemy być dumni! To jedzenie może powstawać jedynie w Polsce, wstyd nie znać",2141
183,Szkołę podstawową masz za sobą? To w szkolnym musisz mieć choć 7/10. Bez wymówek,45448
184,"Sprawdź, czy na pewno znasz Polskę od A do Z!",1515
185,Mieliście kiedyś w ręku igłę i nitkę? W tym quizie musicie mieć komplet!,1551
186,O ortografii nigdy nie można zapomnieć. Gotowy na dyktando?,9260
187,"Pamiętasz serial ""Wakacje z duchami""? Komplet zdobędą tylko wychowani w PRL-u!",6413
188,Jakiego zwierzęcia brakuje w tym przysłowiu? Sprawdź!,2266
189,"10 polskich sportowców, których wypada znać. Rozpoznasz ich na zdjęciach?",4289
190,"Pamiętasz jeszcze, co jadło się na imprezach w PRL-u? Ten szybki quiz to sprawdzi",56118
191,"Kto z nas nie oglądał ""Mumii""? Po prostu musicie mieć komplet!",1160
192,"Ten quiz wiedzy ogólnej nie jest trudny, ale komplet zdobywają tylko nieliczni!",2509
193,"5 pytań, przez które oblejesz się zimnym potem. Poradzisz sobie z akademickim?",878
194,Rozpoznasz drzewo po liściu? Przekonaj się w tym krótkim quizie!,951
195,Dobrze pamiętasz lata 80.? W tym quizie młodzież nie ma szans,2234
196,W tym quizie muszą Ci pomóc dzieci lub wnuki. Pytamy o kreskówki z ich młodości!,12570
197,"""Doogie Howser, lekarz medycyny"". Oglądaliście? Sprawdźcie, ile pamiętacie!",144
198,Przez które miasto przepływa Odra? A Wisła? W tym quizie sprawdzimy Twoją znajomość geografii,1694
199,"Te postacie znacie z ekranów, ale czy rozpoznacie je, jeśli rozmażemy im twarze?",4958
200,"Kiedyś było lepiej. Zobacz, jak dobrze pamiętasz reprezentantów Polski z lat 80.",1899
201,"Wiesz, kim był Szarik? Sprawdzamy wiedzę o polskich serialach. Średnia 12/15",7075
202,Co pamiętasz z wieczorynek z lat 80. i 90.?,5899
203,Pora na ostatni cośrodowy w listopadzie! Uda Ci się dobrze zakończyć miesiąc?,724
204,Dziś andrzejki! Uda Ci się przepowiedzieć komplet punktów w quizie o wróżbach?,803
205,Ten quiz ułożyliśmy razem ze stomatologiem! Zdobędziesz komplet punktów?,496
206,Masz duszę turysty? To w tym quizie o polskich zamkach musisz mieć komplet!,265
207,"Poradzisz sobie z quizem wiedzy ogólnej? Uważaj na 5. pytanie, bo wielu się w nim myli",1472
208,"To najtrudniejszy quiz o czekoladzie, jaki kiedykolwiek rozwiążesz. Dasz radę?",1440
209,"Jeśli uważasz się za obytą osobę, ten quiz nie powinien być wyzwaniem. Znasz tych malarzy?",798
210,"Sprawdź, czy nie kaleczysz języka polskiego. 3. pytanie wszystkim sprawia problemy. Dasz radę?",2121
211,W tym quizie pytamy o byłych mistrzów świata! Komplet punktów tylko dla wiernych kibiców,290
212,W tym quizie przyda się wiedza i logiczne myślenie! 8/8 tylko dla tęgich umysłów,2774
213,"Przenosisz się do PRL-u. Sprawdź, czy sobie tam poradzisz. Średnia 11/13",2627
214,Czas na nowy polonistyczny! Zdobędziesz choć połowę punktów?,2814
215,"Grudzień zaczynamy świątecznie! Sprawdź, co wiesz o Świętym Mikołaju!",8776
216,Święta tuż-tuż. Dokończysz słowa kolęd? A może wyleciały Ci już z głowy?,44455
217,"Pamiętasz pierwsze odcinki ""Klanu""? Na te pytania odpowiedzą chyba tylko najwięksi fani serialu",1414
218,"Myślisz, że jesteś królem sucharów? Spróbuj zdobyć chociaż 8/10 w tym quizie!",57896
219,"Niby wszyscy znają się na kotach, ale Wasza średnia to tylko 8/15. Halo?",854
220,Geografia to Twój konik? Świetnie! Spróbuj się nie pomylić w drugim pytaniu,903
221,"Jeśli nigdy nie mieszkałeś w bloku, to nie masz szans w tym quizie",8266
222,W tym quizie poradzą sobie tylko osoby o rozległej wiedzy. Reszta bez szans,1301
223,"Ile pamiętasz z ""Misia"" Barei? Ten quiz przygotowaliśmy z naszym czytelnikiem!",1504
224,"Pora na copiątkowy quiz wiedzy ogólnej! Niby łatwo, ale 8/10 to już dobry wynik!",4338
225,W tym quizie mają szansę się wykazać fani motoryzacji! Będą komplety?,1600
226,Ten ekstremalny rozwiążą tylko prawdziwi weterani quizów. Reszta polegnie,1769
227,Oto grudniowy quiz wiedzy ogólnej. Dasz radę zdobyć komplet czy wymiękasz?,1435
228,"Myślisz, że znasz się na przyprawach? Ten quiz pokaże Ci, jak bardzo się mylisz",3158
229,Ten quiz sprawdzi waszą wiedzę o komputerach. Komplet tylko dla najlepszych!,391
230,"W tym quizie trzeba mieć nie tylko dobre oko, ale też wiedzieć co nieco o muzyce",2553
231,Dopasujesz stolicę do państwa? Komplet punktów tylko w zasięgu orłów,5815
232,"Wystarczy, że dopasujesz tablicę do polskiego miasta. Łatwe? Chyba nie aż tak, jak się wydaje",3217
233,"Rozpoznasz bohaterów polskich seriali, jeśli zapikselujemy im twarze?",8410
234,Każdy widział choć jeden odcinek przygód Xeny. Poradzisz sobie w tym quizie?,1047
235,"Jeśli dobrze kojarzysz i znasz historię, to masz szansę na komplet punktów. Pobij 9/15",4799
236,"10 prostych zadań z matematyki. Sprawdź, co jeszcze pamiętasz ze szkoły",1954
237,"4 grudnia to święto górników. Sprawdź, ile wiesz o górnictwie!",2872
238,Brno to miasto: a) w Czechach; b) w Szwajcarii. Znasz odpowiedź? Sprawdź się,1865
239,"Rozpoznasz po zdjęciu, o który składnik kulinarny pytamy? Do pobicia średnia 8/13",3658
240,"Podajemy kategorię i trzy słowa, odgadniesz hasło? 30 proc. osób wykłada się na 7. pytaniu",2386
241,"Odkryjesz, czego brakuje w tych obrazach? Niestety, średnia bardzo niska, tylko 4/10",2158
242,"Szwagierka to żona brata czy siostra męża? Jeśli znasz odpowiedź, spróbuj rozwiązać quiz",11366
243,"Pamiętasz ""Kolorowe jarmarki""? A ""Orła cień""? Sprawdzimy, jak dobrze znasz kultowe piosenki",5515
244,"Myślicie, że quizy o zwierzętach są łatwe? To mocno się zdziwicie",12915
245,"Wynik 5/5 tylko dla tych, którzy na bieżąco śledzą media. Same gorące newsy!",11412
246,W nowym kalendarzowym same ciekawe rocznice. Uda Ci się zdobyć choć 4 punkty?,6793
247,"Te bajki na pewno znasz, ale czy pamiętasz losy bohaterów? Pobij średnią 6/13",2335
248,"Poprawnie jest ""pojedynczy"" czy ""pojedyńczy""? Nie wiesz? To nie licz na komplet",2100
249,"W tym quizie przyda się nie tylko znajomość świata, ale też orientacja w przestrzeni. Średnia 7/10",4149
250,"W PRL-u uznawaliśmy to za oczywiste, a teraz? Pamiętasz wszystko z życia codziennego?",2677
251,"12 dat z historii Polski, których wstyd nie znać po podstawówce. Pochwalisz się kompletem?",2576
252,"""Ja jestem kobieta pracująca - żadnej pracy się nie boję"". Pytamy o cytaty z polskich seriali",38629
253,Rozpoznasz ekranizację powieści po jednym kadrze? Do pobicia średnia 12/15,7668
254,"14 wybitnych Polaków, których powinieneś znać. Część z Was nie zdobywa w tym quizie nawet połowy punktów",5951
255,"Nowy szkolny zweryfikuje, co tak naprawdę pamiętacie ze szkoły. Gotowi?",17720
256,Z niektórymi na pewno miałeś do czynienia. Poznasz te narzędzia lekarskie?,815
257,"Każdy oglądał przynajmniej jeden odcinek ""Klanu"". Poradzisz sobie z tym quizem?",1095
258, Portugalia. Co wiesz o tym kraju? Spróbuj przebić średnią 6/12,282
259,"W tym quizie poradzą sobie ci, którzy bywają na weselach. Znasz te przyśpiewki?",5514
260,"Myślisz, że bez problemu dopasujesz piłkę do sportu? Może nie być tak łatwo!",891
261,"Te bajki na pewno oglądaliście, ale czy uda Wam się zdobyć komplet w tym quizie?",2583
262,Nie ma złotej rączki bez dobrych narzędzi. Uda Ci się rozpoznać je na zdjęciach?,1425
263,Sportowi idole PRL-u. To w nich kochały się Polki za komuny! Średnia 8/12,1151
264,Czas na herbatkę! Ile wiecie o tym napoju? Przekonajcie się!,805
265,"Znasz się na zdrowiu? Jeśli tak, to bez problemu zdobędziesz komplet punktów!",8822
266,To cytat polskiego polityka czy bohatera filmu Barei? Dasz radę rozpoznać?,587
267,"Założymy się, że nic już nie pamiętasz z Inwokacji? ’Pan Tadeusz’ do powtórki...",1971
268,"Wszyscy je znamy, z mowy potocznej. Sprawdź, czy wiesz, skąd się wzięły te frazeologizmy",5020
269,"Kulinarne skojarzenia. My podajemy słowo, ty musisz dodać kolejne - quiz dla obytych w kuchni!",1591
270,"Quiz logiczny. My podajemy trzy słowa, ty zgadujesz czwarte. Proste? Tak się tylko wydaje!",6481
271,Mokry quiz wiedzy ogólnej. Odpowiecie poprawnie na wszystkie pytania?,9266
272,Najbardziej irytujące słowa rodziców. Każdy z nas je kiedyś usłyszał. Dokończ zdanie!,12895
273,"Dawno nie robiliśmy dyktanda - czas sprawdzić, jak tam wasza ortografia!",8709
274,"W tym quizie na 5/5 mogą liczyć ci, którzy śledzili media. Tylko gorące newsy!",567
275,W tym kalendarzowym każdy powinien zdobyć choć 5/7. Zawalczysz o komplet?,905
276,"Dla jednych może być banalny, dla innych - nie do przejścia. Poradzisz sobie w quizie o... nakryciach głowy?",1564
277,"Pytamy jedynie o Europę, zdobędziesz komplet punktów?",3013
278,"Masz 3 składniki, co z nich ugotujesz? Sprawdź, czy odnajdziesz się w kuchni",2457
279,"Rozpoznasz, w którym roku zostało zrobione to zdjęcie? Do pobicia 7/11!",2134
280,"Czy wiesz, które zwierzęta zapadają w sen zimowy?",749
281,"Jeśli masz w tym quizie 15/15, to najpewniej jesteś znawcą historii PRL-u!",2199
282,To quiz wiedzy ogólnej o zimie! Średnia to tylko 13/20 - podejmiesz wyzwanie?,1353
283,"Słuchasz polskiej muzyki? Sprawdź, czy pamiętasz imiona bohaterów utworów",13168
284,"W nowym szkolnym mniej matematyki, ale to nie znaczy, że będzie łatwo. Dasz radę?",13093
285,"Wskażesz polskie zabytki, które są wpisane na listę UNESCO? To podchwytliwy quiz!",273
286,Dziś Światowy Dzień Telewizji! Ile wiecie o tym wynalazku wszechczasów?,377
287,Oto wielki quiz wiedzy o piłce nożnej! Wynik 20/20 tylko dla największych fanów!,10155
288,"Szczotka, pasta, kubek, ciepła woda - czyli quiz o higienie! Sprawdźcie się!",1081
